district_code,category,amount,school_year
1109,Basic Education,1455983.27,2024-25
1109,Community Services,52737.01,2024-25
1109,Compensatory Education,89932.88,2024-25
1109,Districtwide Support,699614.51,2024-25
1109,Food Services,95336.79,2024-25
1109,Other Instructional,10882.33,2024-25
1109,Special Education,259398.74,2024-25
1109,Transportation,152121.75,2024-25
1109,Vocational/CTE,124512.38,2024-25
1122,Basic Education,247651.94,2024-25
1122,Compensatory Education,25321.6,2024-25
1122,Districtwide Support,145330.13,2024-25
1122,Food Services,26145.49,2024-25
1122,Special Education,3825.47,2024-25
1122,Transportation,111638.52,2024-25
1147,Basic Education,41823894.0,2024-25
1147,COVID Relief,19797.75,2024-25
1147,Community Services,305947.61,2024-25
1147,Compensatory Education,6868944.55,2024-25
1147,Districtwide Support,11393131.29,2024-25
1147,Food Services,3758999.58,2024-25
1147,Other Instructional,3545168.12,2024-25
1147,Special Education,8126165.44,2024-25
1147,Transportation,2698786.41,2024-25
1147,Vocational/CTE,3027087.85,2024-25
1158,Basic Education,2207298.82,2024-25
1158,Community Services,79333.68,2024-25
1158,Compensatory Education,570935.02,2024-25
1158,Districtwide Support,946103.76,2024-25
1158,Food Services,226983.55,2024-25
1158,Other Instructional,61189.16,2024-25
1158,Special Education,294950.33,2024-25
1158,Transportation,1205831.41,2024-25
1158,Vocational/CTE,259714.92,2024-25
1160,Basic Education,3349292.9,2024-25
1160,Community Services,98159.64,2024-25
1160,Compensatory Education,401567.63,2024-25
1160,Districtwide Support,1644461.47,2024-25
1160,Food Services,187614.9,2024-25
1160,Other Instructional,14407.17,2024-25
1160,Special Education,642677.54,2024-25
1160,Transportation,71325.63,2024-25
1160,Vocational/CTE,489763.39,2024-25
2250,Basic Education,22073831.08,2024-25
2250,Compensatory Education,3365005.81,2024-25
2250,Districtwide Support,7734489.33,2024-25
2250,Food Services,1901024.53,2024-25
2250,Other Instructional,261440.68,2024-25
2250,Special Education,6470164.4,2024-25
2250,Transportation,1366715.47,2024-25
2250,Vocational/CTE,1601502.28,2024-25
2420,Basic Education,6117099.7,2024-25
2420,COVID Relief,140.63,2024-25
2420,Compensatory Education,296596.88,2024-25
2420,Districtwide Support,2191335.41,2024-25
2420,Food Services,332786.86,2024-25
2420,Other Instructional,104890.66,2024-25
2420,Special Education,1395608.38,2024-25
2420,Transportation,404840.9,2024-25
2420,Vocational/CTE,616857.05,2024-25
3017,Basic Education,167516931.97,2024-25
3017,Community Services,2947945.59,2024-25
3017,Compensatory Education,23395271.96,2024-25
3017,Districtwide Support,36621307.62,2024-25
3017,Food Services,12762919.02,2024-25
3017,Other Instructional,7449598.36,2024-25
3017,Special Education,41342589.06,2024-25
3017,Transportation,10911945.32,2024-25
3017,Vocational/CTE,17061988.34,2024-25
3050,Basic Education,1280623.89,2024-25
3050,Compensatory Education,312614.34,2024-25
3050,Districtwide Support,575262.39,2024-25
3050,Food Services,100958.89,2024-25
3050,Other Instructional,40798.37,2024-25
3050,Special Education,259342.79,2024-25
3050,Transportation,342052.39,2024-25
3050,Vocational/CTE,90759.48,2024-25
3052,Basic Education,11837419.93,2024-25
3052,Community Services,487470.32,2024-25
3052,Compensatory Education,2036276.82,2024-25
3052,Districtwide Support,4258909.54,2024-25
3052,Food Services,986433.56,2024-25
3052,Other Instructional,696558.32,2024-25
3052,Special Education,2798894.92,2024-25
3052,Transportation,781291.65,2024-25
3052,Vocational/CTE,983255.58,2024-25
3053,Basic Education,7431240.07,2024-25
3053,Compensatory Education,1120005.76,2024-25
3053,Districtwide Support,2488306.39,2024-25
3053,Food Services,870743.37,2024-25
3053,Other Instructional,366680.99,2024-25
3053,Special Education,1633249.09,2024-25
3053,Transportation,798355.0,2024-25
3053,Vocational/CTE,799579.74,2024-25
3116,Basic Education,22228324.43,2024-25
3116,Compensatory Education,3990086.79,2024-25
3116,Districtwide Support,7187369.72,2024-25
3116,Food Services,2068198.11,2024-25
3116,Other Instructional,1774759.52,2024-25
3116,Special Education,5535699.14,2024-25
3116,Transportation,1917598.02,2024-25
3116,Vocational/CTE,2208733.53,2024-25
3400,Basic Education,131212410.84,2024-25
3400,Community Services,3319982.42,2024-25
3400,Compensatory Education,9978395.94,2024-25
3400,Districtwide Support,29446898.04,2024-25
3400,Food Services,6876374.52,2024-25
3400,Other Instructional,2195863.15,2024-25
3400,Special Education,36471373.11,2024-25
3400,Transportation,5604947.16,2024-25
3400,Vocational/CTE,9307435.55,2024-25
4019,Basic Education,6367094.3,2024-25
4019,Community Services,462652.55,2024-25
4019,Compensatory Education,1176084.4,2024-25
4019,Districtwide Support,1993929.32,2024-25
4019,Food Services,542321.06,2024-25
4019,Other Instructional,487329.37,2024-25
4019,Special Education,1204022.61,2024-25
4019,Transportation,488988.21,2024-25
4019,Vocational/CTE,590009.45,2024-25
4069,Basic Education,228856.25,2024-25
4069,Districtwide Support,136092.87,2024-25
4127,Basic Education,4684639.97,2024-25
4127,Compensatory Education,563091.14,2024-25
4127,Districtwide Support,1354196.69,2024-25
4127,Food Services,414527.17,2024-25
4127,Other Instructional,283268.8,2024-25
4127,Special Education,581015.69,2024-25
4127,Transportation,256545.66,2024-25
4127,Vocational/CTE,302344.67,2024-25
4129,Basic Education,11750226.01,2024-25
4129,Community Services,287641.02,2024-25
4129,Compensatory Education,1607834.93,2024-25
4129,Districtwide Support,3623874.63,2024-25
4129,Food Services,1080841.01,2024-25
4129,Other Instructional,754580.92,2024-25
4129,Special Education,2353985.21,2024-25
4129,Transportation,916705.5,2024-25
4129,Vocational/CTE,1455286.48,2024-25
4222,Basic Education,14419292.52,2024-25
4222,Community Services,182855.64,2024-25
4222,Compensatory Education,1499306.24,2024-25
4222,Districtwide Support,3848036.23,2024-25
4222,Food Services,807981.14,2024-25
4222,Other Instructional,487324.22,2024-25
4222,Special Education,3193112.94,2024-25
4222,Transportation,568404.18,2024-25
4222,Vocational/CTE,1841283.21,2024-25
4228,Basic Education,13463836.74,2024-25
4228,Community Services,15818.54,2024-25
4228,Compensatory Education,1202387.61,2024-25
4228,Districtwide Support,3188276.77,2024-25
4228,Food Services,604088.34,2024-25
4228,Other Instructional,417832.41,2024-25
4228,Transportation,968122.06,2024-25
4228,Vocational/CTE,1771267.67,2024-25
4246,Basic Education,57476405.59,2024-25
4246,Community Services,17909.81,2024-25
4246,Compensatory Education,12051819.32,2024-25
4246,Districtwide Support,15877012.43,2024-25
4246,Food Services,3726605.69,2024-25
4246,Other Instructional,4520346.73,2024-25
4246,Special Education,19752979.19,2024-25
4246,Transportation,2969559.64,2024-25
4246,Vocational/CTE,12209354.83,2024-25
4901,Basic Education,2201945.83,2024-25
4901,Compensatory Education,296561.15,2024-25
