Accounting Item Id,Activity Code,Actuals Revenues And Expenditures Id,County District Code,Fund Code,Item Code,Last Updated,Object Code,Program Code,Revenue Code,School Year Code,Amount
1011789,,2024-20254014XLY,08401,4,XLY,12/8/2025 14:09,,,,2024-2025,320.46
1011790,,2024-20254014XLZ,08401,4,XLZ,12/8/2025 14:09,,,,2024-2025,8500
1011792,,2024-20254014XMB,08401,4,XMB,12/8/2025 14:09,,,,2024-2025,17666.68
1011792,,2024-20252154XMB,20215,4,XMB,12/8/2025 14:09,,,,2024-2025,8930.74
1011790,,2024-20252154XLZ,20215,4,XLZ,12/8/2025 14:09,,,,2024-2025,1050
1011785,,2024-20252154XLU,20215,4,XLU,12/8/2025 14:09,,,,2024-2025,168
1011783,,2024-20252154XLS,20215,4,XLS,12/8/2025 14:09,,,,2024-2025,8930.74
1011782,,2024-20252154XLR,20215,4,XLR,12/8/2025 14:09,,,,2024-2025,11600
1011781,,2024-20252154XLQ,20215,4,XLQ,12/8/2025 14:09,,,,2024-2025,4740.71
1011780,,2024-20252154XLP,20215,4,XLP,12/8/2025 14:09,,,,2024-2025,9812.74
1011779,,2024-20252154XLO,20215,4,XLO,12/8/2025 14:09,,,,2024-2025,9812.74
1011778,,2024-20252154XLN,20215,4,XLN,12/8/2025 14:09,,,,2024-2025,9812.74
1011777,,2024-20252154XLM,20215,4,XLM,12/8/2025 14:09,,,,2024-2025,9812.74
1011776,,2024-20252154XLL,20215,4,XLL,12/8/2025 14:09,,,,2024-2025,6342.24
1011775,,2024-20252154XLK,20215,4,XLK,12/8/2025 14:09,,,,2024-2025,6342.24
1012912,,2024-20252154AEG,20215,4,AEG,12/8/2025 14:09,,,,2024-2025,9812.74
1012908,,2024-20252154ADQ,20215,4,ADQ,12/8/2025 14:09,,,,2024-2025,9812.74
1012905,,2024-20252154ACU,20215,4,ACU,12/8/2025 14:09,,,,2024-2025,2500
1012902,,2024-20252154ABM,20215,4,ABM,12/8/2025 14:09,,,,2024-2025,3700
1012901,,2024-20252154ABL,20215,4,ABL,12/8/2025 14:09,,,,2024-2025,5400
1012899,,2024-20252154ABI,20215,4,ABI,12/8/2025 14:09,,,,2024-2025,2500
1012898,,2024-20252154ABH,20215,4,ABH,12/8/2025 14:09,,,,2024-2025,3700
1012897,,2024-20252154ABG,20215,4,ABG,12/8/2025 14:09,,,,2024-2025,5400
1012896,,2024-20252154ABF,20215,4,ABF,12/8/2025 14:09,,,,2024-2025,5764
1012894,,2024-20252154ABD,20215,4,ABD,12/8/2025 14:09,,,,2024-2025,5764
1012893,,2024-20252154ABA,20215,4,ABA,12/8/2025 14:09,,,,2024-2025,11600
1012891,,2024-20252154AAY,20215,4,AAY,12/8/2025 14:09,,,,2024-2025,11600
1012889,,2024-20252154966,20215,4,966,12/8/2025 14:09,,,,2024-2025,6859.29
1012888,,2024-20252154965,20215,4,965,12/8/2025 14:09,,,,2024-2025,4048.74
1012886,,2024-20252154963,20215,4,963,12/8/2025 14:09,,,,2024-2025,578.24
1012885,,2024-20252154962,20215,4,962,12/8/2025 14:09,,,,2024-2025,8211.21
1012884,,2024-20252154961,20215,4,961,12/8/2025 14:09,,,,2024-2025,3470.5
1012883,,2024-20252154953,20215,4,953,12/8/2025 14:09,,,,2024-2025,3470.5
1012881,,2024-20252154899,20215,4,899,12/8/2025 14:09,,,,2024-2025,6859.29
1012880,,2024-20252154886,20215,4,886,12/8/2025 14:09,,,,2024-2025,-3388.79
1012879,,2024-20252154881,20215,4,881,12/8/2025 14:09,,,,2024-2025,-3388.79
1012878,,2024-20252154817,20215,4,817,12/8/2025 14:09,,,,2024-2025,3470.5
1012875,,2024-20252154621,20215,4,621,12/8/2025 14:09,,,,2024-2025,9980.74
1012873,,2024-20252154535,20215,4,535,12/8/2025 14:09,,,,2024-2025,3470.5
1012872,,2024-20252154532,20215,4,532,12/8/2025 14:09,,,,2024-2025,4740.71
1012867,,2024-20252154487,20215,4,487,12/8/2025 14:09,,,,2024-2025,778.25
1012866,,2024-20252154486,20215,4,486,12/8/2025 14:09,,,,2024-2025,452.41
1012865,,2024-20252154485,20215,4,485,12/8/2025 14:09,,,,2024-2025,3510.05
1012863,,2024-20252154482,20215,4,482,12/8/2025 14:09,,,,2024-2025,2507
1012862,,2024-20252154481,20215,4,481,12/8/2025 14:09,,,,2024-2025,339
1012861,,2024-20252154480,20215,4,480,12/8/2025 14:09,,,,2024-2025,5365.21
1012859,,2024-20252154476,20215,4,476,12/8/2025 14:09,,,,2024-2025,168
1012858,,2024-20252154475,20215,4,475,12/8/2025 14:09,,,,2024-2025,8930.74
1012857,,2024-20252154470,20215,4,470,12/8/2025 14:09,,,,2024-2025,9812.74
1012852,,2024-20252154442,20215,4,442,12/8/2025 14:09,,,,2024-2025,9812.74
1012850,,2024-20252154440,20215,4,440,12/8/2025 14:09,,,,2024-2025,9812.74
1012849,,2024-20252154439,20215,4,439,12/8/2025 14:09,,,,2024-2025,9812.74
1012833,,2024-20252154400,20215,4,400,12/8/2025 14:09,,,,2024-2025,1050
1012830,,2024-20252154297,20215,4,297,12/8/2025 14:09,,,,2024-2025,6342.24
1012828,,2024-20252154275,20215,4,275,12/8/2025 14:09,,,,2024-2025,6342.24
1012827,,2024-20252154104,20215,4,104,12/8/2025 14:09,,,,2024-2025,9812.74
1012395,,2024-20252154XNE,20215,4,XNE,12/8/2025 14:09,,,,2024-2025,9812.74
1012392,,2024-20252154XNB,20215,4,XNB,12/8/2025 14:09,,,,2024-2025,778.25
1012391,,2024-20252154XNA,20215,4,XNA,12/8/2025 14:09,,,,2024-2025,452.41
1012390,,2024-20252154XMZ,20215,4,XMZ,12/8/2025 14:09,,,,2024-2025,3510.05
1012387,,2024-20252154XMW,20215,4,XMW,12/8/2025 14:09,,,,2024-2025,2507
1012386,,2024-20252154XMV,20215,4,XMV,12/8/2025 14:09,,,,2024-2025,339
1012385,,2024-20252154XMU,20215,4,XMU,12/8/2025 14:09,,,,2024-2025,5365.21
1012367,,2024-20252154XMC,20215,4,XMC,12/8/2025 14:09,,,,2024-2025,168
1012367,,2024-20254014XMC,18401,4,XMC,12/8/2025 14:09,,,,2024-2025,7038.17
1012373,,2024-20254014XMI,18401,4,XMI,12/8/2025 14:09,,,,2024-2025,28252.16
1012374,,2024-20254014XMJ,18401,4,XMJ,12/8/2025 14:09,,,,2024-2025,1826991.94
1012375,,2024-20254014XMK,18401,4,XMK,12/8/2025 14:09,,,,2024-2025,65952.06
1012378,,2024-20254014XMN,18401,4,XMN,12/8/2025 14:09,,,,2024-2025,3778.86
1012382,,2024-20254014XMR,18401,4,XMR,12/8/2025 14:09,,,,2024-2025,41465.86
1012385,,2024-20254014XMU,18401,4,XMU,12/8/2025 14:09,,,,2024-2025,642809.73
1012386,,2024-20254014XMV,18401,4,XMV,12/8/2025 14:09,,,,2024-2025,404188.88
1012387,,2024-20254014XMW,18401,4,XMW,12/8/2025 14:09,,,,2024-2025,317500.96
1012388,,2024-20254014XMX,18401,4,XMX,12/8/2025 14:09,,,,2024-2025,279621.83
1012389,,2024-20254014XMY,18401,4,XMY,12/8/2025 14:09,,,,2024-2025,109788.25
1012390,,2024-20254014XMZ,18401,4,XMZ,12/8/2025 14:09,,,,2024-2025,427664.43
1012391,,2024-20254014XNA,18401,4,XNA,12/8/2025 14:09,,,,2024-2025,422780.55
1012392,,2024-20254014XNB,18401,4,XNB,12/8/2025 14:09,,,,2024-2025,285880.14
1012393,,2024-20254014XNC,18401,4,XNC,12/8/2025 14:09,,,,2024-2025,255425.64
1012394,,2024-20254014XND,18401,4,XND,12/8/2025 14:09,,,,2024-2025,110606.08
1012395,,2024-20254014XNE,18401,4,XNE,12/8/2025 14:09,,,,2024-2025,1841170.86
1012827,,2024-20254014104,18401,4,104,12/8/2025 14:09,,,,2024-2025,1910901.78
1012828,,2024-20254014275,18401,4,275,12/8/2025 14:09,,,,2024-2025,1589618.05
1012830,,2024-20254014297,18401,4,297,12/8/2025 14:09,,,,2024-2025,1589618.05
1012834,,2024-20254014401,18401,4,401,12/8/2025 14:09,,,,2024-2025,55644.68
1012839,,2024-20254014407,18401,4,407,12/8/2025 14:09,,,,2024-2025,28252.16
1012840,,2024-20254014411,18401,4,411,12/8/2025 14:09,,,,2024-2025,65952.06
1012843,,2024-20254014428,18401,4,428,12/8/2025 14:09,,,,2024-2025,41465.86
1012844,,2024-20254014430,18401,4,430,12/8/2025 14:09,,,,2024-2025,3778.86
1012849,,2024-20254014439,18401,4,439,12/8/2025 14:09,,,,2024-2025,1841170.86
1012850,,2024-20254014440,18401,4,440,12/8/2025 14:09,,,,2024-2025,1910901.78
1012851,,2024-20254014441,18401,4,441,12/8/2025 14:09,,,,2024-2025,69730.92
1012852,,2024-20254014442,18401,4,442,12/8/2025 14:09,,,,2024-2025,1841170.86
1012857,,2024-20254014470,18401,4,470,12/8/2025 14:09,,,,2024-2025,1910901.78
1012858,,2024-20254014475,18401,4,475,12/8/2025 14:09,,,,2024-2025,7051.17
1012859,,2024-20254014476,18401,4,476,12/8/2025 14:09,,,,2024-2025,7038.17
1012860,,2024-20254014479,18401,4,479,12/8/2025 14:09,,,,2024-2025,1826991.94
1012861,,2024-20254014480,18401,4,480,12/8/2025 14:09,,,,2024-2025,642809.73
1012862,,2024-20254014481,18401,4,481,12/8/2025 14:09,,,,2024-2025,404188.88
1012863,,2024-20254014482,18401,4,482,12/8/2025 14:09,,,,2024-2025,317500.96
1012864,,2024-20254014483,18401,4,483,12/8/2025 14:09,,,,2024-2025,279621.83
1012865,,2024-20254014485,18401,4,485,12/8/2025 14:09,,,,2024-2025,427664.43
1012866,,2024-20254014486,18401,4,486,12/8/2025 14:09,,,,2024-2025,422780.55
1012867,,2024-20254014487,18401,4,487,12/8/2025 14:09,,,,2024-2025,285880.14
1012868,,2024-20254014488,18401,4,488,12/8/2025 14:09,,,,2024-2025,255425.64
1012869,,2024-20254014493,18401,4,493,12/8/2025 14:09,,,,2024-2025,109788.25
1012870,,2024-20254014494,18401,4,494,12/8/2025 14:09,,,,2024-2025,110606.08
1012872,,2024-20254014532,18401,4,532,12/8/2025 14:09,,,,2024-2025,1502356.84
1012873,,2024-20254014535,18401,4,535,12/8/2025 14:09,,,,2024-2025,251552.81
1012875,,2024-20254014621,18401,4,621,12/8/2025 14:09,,,,2024-2025,62695.85
1012877,,2024-20254014625,18401,4,625,12/8/2025 14:09,,,,2024-2025,41465.86
1012878,,2024-20254014817,18401,4,817,12/8/2025 14:09,,,,2024-2025,251552.81
1012879,,2024-20254014881,18401,4,881,12/8/2025 14:09,,,,2024-2025,-990350.35
1012880,,2024-20254014886,18401,4,886,12/8/2025 14:09,,,,2024-2025,-990350.35
1012881,,2024-20254014899,18401,4,899,12/8/2025 14:09,,,,2024-2025,1370977.16
