district_code,district_name,per_pupil_14-15,enrollment_14-15,expenditure_14-15,per_pupil_15-16,enrollment_15-16,expenditure_15-16,per_pupil_16-17,enrollment_16-17,expenditure_16-17,per_pupil_17-18,enrollment_17-18,expenditure_17-18,per_pupil_18-19,enrollment_18-19,expenditure_18-19,per_pupil_19-20,enrollment_19-20,expenditure_19-20,per_pupil_20-21,enrollment_20-21,expenditure_20-21,per_pupil_21-22,enrollment_21-22,expenditure_21-22,per_pupil_22-23,enrollment_22-23,expenditure_22-23,per_pupil_23-24,enrollment_23-24,expenditure_23-24,per_pupil_24-25,enrollment_24-25,expenditure_24-25
01109,Washtucna,43643.79,43.0,1854861.0,40593.41,46.0,1854713.0,38741.98,48.0,1878986.0,43243.82,49.0,2112893.0,38599.42,54.0,2088229.0,39143.71,56.0,2210836.0,38295.53,61.0,2349048.0,31334.26,81.0,2547476.0,42922.37,66.0,2822146.0,43935.07,67.0,2926076.0,48197.34,61.0,2940520.0
01122,Benge,26653.3,13.0,341162.0,28771.44,13.0,365397.0,33200.51,12.0,415006.0,28935.96,14.0,393529.0,35036.53,12.0,437957.0,27859.68,19.0,523762.0,26377.01,16.0,432583.0,36102.88,11.0,411573.0,52986.31,9.0,476877.0,46567.26,11.0,512240.0,42098.73,13.0,559913.0
01147,Othello,9537.59,4158.0,39658688.0,10231.75,4280.0,43787289.0,10802.25,4404.0,47578290.0,11908.96,4462.0,53135395.0,13316.47,4519.0,60175249.0,14031.94,4646.0,65191687.0,14531.97,4561.0,66283664.0,15907.52,4510.0,71738763.0,16889.52,4613.0,77914542.0,17377.2,4570.0,79415722.0,17793.43,4584.0,81567923.0
01158,Lind,21218.43,178.0,3787490.0,20055.4,196.0,3935672.0,20039.94,190.0,3805986.0,21269.65,199.0,4229895.0,23047.99,201.0,4628498.0,25433.16,190.0,4834844.0,25781.07,198.0,5107489.0,29177.53,196.0,5709750.0,31221.76,202.0,6317410.0,33293.55,182.0,6066751.0,33760.26,173.0,5852341.0
01160,Ritzville,11568.54,344.0,3982124.0,12865.39,350.0,4508547.0,13619.08,355.0,4829600.0,13599.62,358.0,4872473.0,14520.15,355.0,5158720.0,15069.56,351.0,5287757.0,15797.3,326.0,5148973.0,17754.33,348.0,6176731.0,19173.81,353.0,6774299.0,16310.65,402.0,6550358.0,17292.27,399.0,6899270.0
02250,Clarkston,10765.44,2631.0,28323885.0,11311.18,2676.0,30263633.0,11733.59,2687.0,31530150.0,12758.0,2648.0,33779486.0,13702.35,2653.0,36350129.0,13403.22,2657.0,35618644.0,13682.82,2491.0,34079244.0,15293.16,2455.0,37539519.0,16745.18,2496.0,41795126.0,18095.36,2506.0,45351849.0,18367.31,2438.0,44774174.0
02420,Asotin-Anatone,10688.83,613.0,6547552.0,11412.57,658.0,7510040.0,11829.19,659.0,7797447.0,12671.96,633.0,8018059.0,13040.47,650.0,8481002.0,13351.88,622.0,8304337.0,15447.41,617.0,9535221.0,15961.36,609.0,9727968.0,16567.45,613.0,10161317.0,18166.52,620.0,11258517.0,17454.05,657.0,11460156.0
03017,Kennewick,9640.47,17496.0,168667535.0,10337.72,18091.0,187018982.0,10820.74,18616.0,201438418.0,11747.48,19003.0,223237973.0,13040.76,19064.0,248603048.0,13295.81,19233.0,255721902.0,14438.89,18434.0,266162605.0,15133.22,18584.0,281237843.0,15724.72,18850.0,296404605.0,16350.8,19039.0,311306709.0,16773.91,19078.0,320010497.0
03050,Paterson,12588.01,132.0,1657086.0,12891.99,134.0,1728816.0,12590.57,138.0,1733974.0,14484.54,126.0,1817810.0,17613.83,118.0,2077728.0,18093.27,122.0,2202493.0,14953.7,140.0,2087388.0,17666.16,142.0,2503294.0,21242.76,144.0,3058532.0,21380.47,144.0,3074512.0,22076.56,136.0,3002413.0
03052,Kiona Benton,11270.87,1454.0,16393257.0,11872.49,1460.0,17332760.0,12620.34,1441.0,18188438.0,13558.96,1434.0,19449654.0,14903.45,1407.0,20963191.0,14972.49,1395.0,20885271.0,15621.78,1359.0,21231719.0,15956.18,1408.0,22466621.0,17607.6,1398.0,24622112.0,17681.09,1371.0,24232812.0,18599.85,1337.0,24866511.0
03053,Finley,11720.44,893.0,10469521.0,12508.23,896.0,11209875.0,12495.83,906.0,11318221.0,13866.99,881.0,12222921.0,14618.16,882.0,12899647.0,15231.84,875.0,13320852.0,16324.25,880.0,14358486.0,16838.5,854.0,14374356.0,16291.01,880.0,14342768.0,17124.82,867.0,14848077.0,17850.91,869.0,15508160.0
03116,Prosser,10805.51,2798.0,30234802.0,11703.66,2770.0,32422193.0,11895.8,2746.0,32662537.0,13196.47,2707.0,35721932.0,14018.81,2661.0,37306305.0,14394.6,2654.0,38200686.0,14778.86,2517.0,37202964.0,16623.32,2457.0,40841334.0,18412.71,2411.0,44384016.0,18223.73,2457.0,44772417.0,18857.39,2488.0,46910769.0
03400,Richland,9513.81,12061.0,114743405.0,10279.47,12871.0,132309736.0,11150.3,13325.0,148575021.0,11529.73,13693.0,157874264.0,12903.04,13751.0,177431023.0,12987.79,13926.0,180863310.0,14932.93,13266.0,198098141.0,15210.1,13534.0,205857053.0,16245.35,13794.0,224090098.0,16643.41,13986.0,232773736.0,16660.02,14070.0,234413681.0
04019,Manson,12062.76,679.0,8184801.0,13345.82,673.0,8982404.0,13652.21,666.0,9094418.0,15002.49,627.0,9411515.0,16438.51,610.0,10026668.0,16081.04,640.0,10284466.0,17394.92,621.0,10810249.0,18813.57,604.0,11353989.0,20910.41,620.0,12968221.0,18307.41,655.0,11990802.0,21089.67,631.0,13312431.0
04069,Stehekin,38314.59,5.0,180079.0,28223.77,7.0,208856.0,33345.4,6.0,210076.0,40129.62,5.0,216700.0,50877.88,6.0,325618.0,19887.2,10.0,192906.0,22518.45,8.0,180148.0,17227.15,11.0,189499.0,22555.39,10.0,216532.0,39702.54,10.0,411318.0,31085.96,12.0,364949.0
04127,Entiat,12344.17,351.0,4327620.0,13341.57,342.0,4562284.0,13379.36,348.0,4652939.0,15698.58,313.0,4918366.0,16141.93,319.0,5154280.0,17261.55,313.0,5401312.0,18270.85,308.0,5633450.0,20890.57,313.0,6543343.0,19809.0,337.0,6675832.0,18601.65,386.0,7186003.0,20564.4,410.0,8439630.0
04129,Lake Chelan,11170.5,1445.0,16137018.0,11964.74,1454.0,17394224.0,12410.63,1442.0,17892649.0,13051.74,1421.0,18546127.0,14300.73,1419.0,20297596.0,15255.04,1391.0,21212439.0,15937.54,1288.0,20529143.0,17861.67,1261.0,22528741.0,19746.03,1280.0,25283214.0,19084.45,1285.0,24526195.0,18948.81,1258.0,23830976.0
